year,Global ,Global,Tucson,Tucson
1835,7.39,,16.13,
1836,7.7,,16.57,
1837,7.38,,16.69,
1838,7.51,,16.48,
1839,7.63,,16.94,
1840,7.8,,16.88,
1841,7.69,7.585714286,16.93,16.66
1842,8.02,7.7375,17.24,16.81857143
1843,8.17,7.73125,17.71,16.98142857
1844,7.65,7.79,16.9,17.01142857
1845,7.85,7.92,17.09,17.09857143
1846,8.55,7.9775,17.78,17.21857143
1847,8.09,8,16.94,17.22714286
1848,7.98,8.03625,19.43,17.58428571
1849,7.98,8.02125,17.53,17.62571429
1850,7.9,8.0225,17.17,17.54857143
1851,8.18,8.07875,17.28,17.60285714
1852,8.1,8.1025,16.99,17.58857143
1853,8.04,8.06,17.95,17.61285714
1854,8.21,8.0625,17.83,17.74
1855,8.11,8.065,17.96,17.53
1856,8,8.0375,17.48,17.52285714
1857,7.76,8.0625,17.84,17.61857143
1858,8.1,8.07125,17.33,17.62571429
1859,8.25,8.05375,17.18,17.65285714
1860,7.96,8.03,17.36,17.56857143
1861,7.85,7.94875,18.39,17.64857143
1862,7.56,7.94875,17.99,17.65285714
1863,8.11,7.94625,17.85,17.70571429
1864,7.98,7.99875,18.08,17.74
1865,8.18,8.0225,17.73,17.79714286
1866,8.29,8.04625,18.16,17.93714286
1867,8.44,8.0825,19,18.17142857
1868,8.25,8.155,18.1,18.13
1869,8.43,8.235,17.72,18.09142857
1870,8.2,8.23625,17.47,18.03714286
1871,8.12,8.2625,17.78,17.99428571
1872,8.19,8.28375,17.24,17.92428571
1873,8.35,8.30125,17.73,17.86285714
1874,8.43,8.22875,17.52,17.65142857
1875,7.86,8.2075,17.7,17.59428571
1876,8.08,8.22125,17.56,17.57142857
1877,8.54,8.3,17.94,17.63857143
1878,8.83,8.30625,17.67,17.62285714
1879,8.17,8.2975,18.3,17.77428571
1880,8.12,8.2875,16.96,17.66428571
1881,8.27,8.25,17.31,17.63428571
1882,8.13,8.265,17.18,17.56
1883,7.98,8.22625,17.3,17.52285714
1884,7.77,8.14875,16.96,17.38285714
1885,7.92,8.03875,17.68,17.38428571
1886,7.95,8.00625,17.39,17.25428571
1887,7.91,8.0025,17.58,17.34285714
